af-NA;af
af-ZA;af
af;en
am-ET;am
am;en
ar-AE;ar
ar-BH;ar
ar-DJ;ar
ar-DZ;ar
ar-EG;ar
ar-ER;ar
ar-IL;ar
ar-IQ;ar
ar-JO;ar
ar-KM;ar
ar-KW;ar
ar-LB;ar
ar-LY;ar
ar-MA;ar
ar-MR;ar
ar-OM;ar
ar-QA;ar
ar-SA;ar
ar-SD;ar
ar-SO;ar
ar-SY;ar
ar-TD;ar
ar-TN;ar
ar-YE;ar
ar;en
ay-BO;ay
ay-PE;ay
ay;en
az-AZ;az
az;en
be-BY;be
be;en
bg-BG;bg
bg;en
bi-VU;bi
bi;en
bn-BD;bn
bn;en
bs-BA;bs
bs;en
ca-AD;ca
ca;en
cs-CZ;cs
cs;en
da-DK;da
da;en
de-AT;de
de-BE;de
de-CH;de
de-DE;de
de-LI;de
de-LU;de
de-NA;de
de;en
dv-MV;dv
dv;en
dz-BT;dz
dz;en
el-CY;el
el-GR;el
el;en
en-AG;en
en-AU;en
en-BB;en
en-BS;en
en-BW;en
en-BZ;en
en-CA;en
en-CM;en
en-DM;en
en-ER;en
en-FJ;en
en-FM;en
en-GB;en
en-GD;en
en-GH;en
en-GM;en
en-GY;en
en-IE;en
en-IN;en
en-JM;en
en-KE;en
en-KI;en
en-KN;en
en-LC;en
en-LR;en
en-LS;en
en-MH;en
en-MT;en
en-MU;en
en-MW;en
en-MY;en
en-NA;en
en-NG;en
en-NR;en
en-NZ;en
en-PG;en
en-PH;en
en-PK;en
en-PW;en
en-RW;en
en-SB;en
en-SC;en
en-SD;en
en-SG;en
en-SL;en
en-SS;en
en-SZ;en
en-TO;en
en-TT;en
en-TV;en
en-TZ;en
en-UG;en
en-US;en
en-VC;en
en-VU;en
en-WS;en
en-ZA;en
en-ZM;en
en-ZW;en
en;
es-AR;es
es-BO;es
es-BZ;es
es-CL;es
es-CO;es
es-CR;es
es-CU;es
es-DO;es
es-EC;es
es-ES;es
es-GQ;es
es-GT;es
es-HN;es
es-MX;es
es-NI;es
es-PA;es
es-PE;es
es-PY;es
es-SV;es
es-UY;es
es-VE;es
es;en
et-EE;et
et;en
fa-AF;fa
fa-IR;fa
fa;en
fi-FI;fi
fi;en
fj-FJ;fj
fj;en
fr-BE;fr
fr-BF;fr
fr-BI;fr
