Version;SupportBegin;SupportEnd
1.0.0;2025-07-24T00:00:00;2027-10-23T00:00:00
1.0.1;2025-07-25T00:00:00;2027-10-24T00:00:00
1.0.2;2025-07-25T00:00:00;2027-10-24T00:00:00
1.0.3;2025-08-07T00:00:00;2027-11-06T00:00:00
1.0.4;2025-09-08T00:00:00;2027-12-08T00:00:00
1.0.5;2025-10-15T00:00:00;2027-01-14T00:00:00
1.0.6;2025-11-09T00:00:00;2027-02-08T00:00:00
1.0.7;2025-11-10T00:00:00;2027-02-09T00:00:00
1.0.8;2025-11-10T00:00:00;2027-02-09T00:00:00
1.0.9;2025-11-23T00:00:00;2027-02-22T00:00:00
1.0.10;2025-12-08T00:00:00;2027-03-09T00:00:00
1.0.11;2025-12-21T00:00:00;2027-03-22T00:00:00
1.0.12;2026-04-19T00:00:00;2027-07-19T00:00:00
1.0.13;2026-07-13T00:00:00;2027-10-12T00:00:00
